24-07-2019  18%:01:45 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-25.html HTTP/1.1" 200 None
24-07-2019  18%:01:45 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:45 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-26.html HTTP/1.1" 200 None
24-07-2019  18%:01:45 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:46 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-27.html HTTP/1.1" 200 None
24-07-2019  18%:01:46 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:46 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-28.html HTTP/1.1" 200 None
24-07-2019  18%:01:46 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:46 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-29.html HTTP/1.1" 200 None
24-07-2019  18%:01:46 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:47 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-30.html HTTP/1.1" 200 None
24-07-2019  18%:01:47 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:47 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-31.html HTTP/1.1" 200 None
24-07-2019  18%:01:47 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:47 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-32.html HTTP/1.1" 200 None
24-07-2019  18%:01:47 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:48 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-33.html HTTP/1.1" 200 None
24-07-2019  18%:01:48 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:48 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-34.html HTTP/1.1" 200 None
24-07-2019  18%:01:48 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:48 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-35.html HTTP/1.1" 200 None
24-07-2019  18%:01:49 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:49 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-36.html HTTP/1.1" 200 None
24-07-2019  18%:01:49 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:49 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-37.html HTTP/1.1" 200 None
24-07-2019  18%:01:49 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:50 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-38.html HTTP/1.1" 200 None
24-07-2019  18%:01:50 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:50 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-39.html HTTP/1.1" 200 None
24-07-2019  18%:01:50 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:50 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-40.html HTTP/1.1" 200 None
24-07-2019  18%:01:51 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:51 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-41.html HTTP/1.1" 200 None
24-07-2019  18%:01:51 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:51 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-42.html HTTP/1.1" 200 None
24-07-2019  18%:01:51 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:52 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-43.html HTTP/1.1" 200 None
24-07-2019  18%:01:52 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:52 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-44.html HTTP/1.1" 200 None
24-07-2019  18%:01:52 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:52 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-45.html HTTP/1.1" 200 None
24-07-2019  18%:01:52 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:53 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-46.html HTTP/1.1" 200 None
24-07-2019  18%:01:53 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:53 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-47.html HTTP/1.1" 200 None
24-07-2019  18%:01:53 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:53 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-48.html HTTP/1.1" 200 None
24-07-2019  18%:01:54 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:54 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-49.html HTTP/1.1" 200 None
24-07-2019  18%:01:54 DEBUG    [connectionpool.py : 206] Starting new HTTP connection (1): books.toscrape.com:80
24-07-2019  18%:01:54 DEBUG    [connectionpool.py : 396] http://books.toscrape.com:80 "GET /catalogue/page-50.html HTTP/1.1" 200 None
16-02-2020  00%:59:44 INFO     [app.py : 13] Loading book list....
16-02-2020  00%:59:44 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:44 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 None
16-02-2020  00%:59:44 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:44 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-2.html HTTP/1.1" 200 None
16-02-2020  00%:59:44 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:45 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-3.html HTTP/1.1" 200 None
16-02-2020  00%:59:45 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:45 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-4.html HTTP/1.1" 200 None
16-02-2020  00%:59:45 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:46 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-5.html HTTP/1.1" 200 None
16-02-2020  00%:59:46 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:46 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-6.html HTTP/1.1" 200 None
16-02-2020  00%:59:46 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:46 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-7.html HTTP/1.1" 200 None
16-02-2020  00%:59:46 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:47 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-8.html HTTP/1.1" 200 None
16-02-2020  00%:59:47 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:47 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-9.html HTTP/1.1" 200 None
16-02-2020  00%:59:47 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:47 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-10.html HTTP/1.1" 200 None
16-02-2020  00%:59:47 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:48 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-11.html HTTP/1.1" 200 None
16-02-2020  00%:59:48 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:48 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-12.html HTTP/1.1" 200 None
16-02-2020  00%:59:48 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:49 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-13.html HTTP/1.1" 200 None
16-02-2020  00%:59:49 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:49 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-14.html HTTP/1.1" 200 None
16-02-2020  00%:59:49 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:49 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-15.html HTTP/1.1" 200 None
16-02-2020  00%:59:49 DEBUG    [connectionpool.py : 205] Starting new HTTP connection (1): books.toscrape.com:80
16-02-2020  00%:59:50 DEBUG    [connectionpool.py : 393] http://books.toscrape.com:80 "GET /catalogue/page-16.html HTTP/1.1" 200 None
